Road Type,Speed Limit,Lanes,Coordinates
residential,Unknown,2,"[53078361, 1235346574, 1235346577, 1235346563, 259846388, 1235346576, 1235346573, 1235346566, 259846386, 1235346571, 1235346559, 259846387, 1235346561, 1235346568, 1235345676, 11082655511, 53078362]"
service,Unknown,Unknown,"[53029107, 4158181344, 712818501, 712818502, 712818503, 239473453, 239473454, 239473456]"
residential,Unknown,Unknown,"[53065841, 1059025113, 1239362266, 1059024877, 310695980, 53081138, 53081139, 4386437279, 53081140, 53081141, 1239362328, 4386437636, 1239362272, 53081142, 1239362299, 1059024650, 53081143]"
residential,Unknown,Unknown,"[53081147, 1239362279, 1239362314, 1239362316, 53050467, 1059024705, 1239362368, 53081149, 53081151, 1239362260, 1059024869, 1239362287, 1239362323, 310695912, 53081152, 53081153, 1239362337, 53081155, 1239362320, 53024364, 1059024919, 53065841]"
service,Unknown,Unknown,"[5454170666, 6822745575, 6822745563]"
residential,15 mph,Unknown,"[3336365733, 53081509, 3336365728, 53081507, 53081506, 53081505, 1237941512, 1059024736, 1059024622, 53081504, 53081503, 1237941437, 3336365740, 53081502, 1059024923, 1237941462, 53081501, 1059024721, 53081500, 1059025116, 53081498, 1237941442, 1059024697, 1237941443, 53081496, 3336365732, 1059024871, 53081494]"
tertiary,Unknown,2,"[8778130044, 2066705610, 239484693, 712662255, 712662253, 239484692, 11082655406, 53081644]"
primary,Unknown,2,"[53118718, 4597681057]"
residential,Unknown,Unknown,"[53083847, 1239362275, 1239362341, 1239362305, 1239362357, 53083848]"
unclassified,Unknown,Unknown,"[414537361, 5448592078, 414541093]"
unclassified,Unknown,Unknown,"[670154148, 5448592091, 6862984735, 6862984739, 4664813762, 10548444719, 53069733]"
residential,Unknown,Unknown,"[53084230, 1239362284, 53084232, 1239362331, 1059024552, 53084233, 1239362307, 1239362310, 1239362361]"
residential,Unknown,2,"[53085199, 4603992325, 712653916, 53085201, 712654085, 4603992436, 53085202, 53085204, 53085205, 4167606489, 712654171, 295992609, 712652997, 295992610, 712653028, 53085045]"
